Lease_Commence_Date,Resale_Price
1966,233000
1967,264828.9918
1968,312877.2796
1969,275862.8121
1970,293605.7027
1971,271266.5727
1972,363943.4506
1973,355392.3817
1974,376216.0317
1975,429034.2525
1976,376282.8743
1977,398030.8459
1978,389607.9451
1979,376662.8761
1980,382590.4775
1981,375540.4515
1982,400839.2038
1983,394506.8693
1984,442551.3965
1985,419582.298
1986,449244.6884
1987,455215.1784
1988,458754.7801
1989,495618.6642
1990,471100.1051
1991,518483.1391
1992,592467.6489
1993,524245.1454
1994,565233.923
1995,566304.8768
1996,520261.154
1997,502448.5534
1998,502664.7797
1999,494564.2518
2000,490430.3756
2001,486503.8855
2002,489382.8997
2003,493182.3329
2004,459871.604
2005,573417.6388
2006,652833.5783
2007,488538.8586
2008,585619.4054
2009,613058.8614
2010,503428.8025
2011,786223.6019
2012,541167.8494
2013,530298.3958
2014,494159.2574
2015,470447.2105
2016,569755.5959
2017,597253.9102
2018,600446.6086
2019,718172.9662
